cyrillic,meaning
сāра́каθ,"рано утром, на заре, на рассвете, чуть свет"
сиwӣрни,смирно
ситиробwор,"поспешно, быстро, торопливо"
ситиробиндāҷ,"поспешно, торопливо, наскоро, на скорую руку"
со́л-га,"на следующий год, в следующем году, на будущий год"
сол-гāх̌т,"время под Новый год, канун Нового года"
солум-га,через два года; на второй год
субада́маθ,"рано утром, на рассвете, с рассветом"
субтаноб,"рано утром, на рассвете"
субу̊нилло,"рано утром, на рассвете, с рассветом"
субу̊нилло́-йаθ,"рано утром, на заре, на рассвете, с рассветом"
суламā,"чуть-чуть, едва; слегка, слабо"
сулбурӣда,"точь-в-точь, точно, как, наподобие"
таговӣн,"наземным путём, по земле (в противоположность путешествию на самолёте или вертолёте)"
так-ба-так,"точно, ровно; точь-в-точь, как раз"
такроран,"повторно, вторично"
талол,"очень, совсем, сильно"
талпақдор,в тюбетейке
тамоки-дӣжд,"минутку, миг, мгновение; с минуту; мигом; быстро"
тано,"одиноко; один, в одиночестве"
таофилан,"быстро, сразу, немедленно"
тапаст,"сразу, быстро; беспрерывно"
тарам,местоименное наречие дальн. ст. там
тараманд,"субстантивированное именное наречие дальней степени со значением принадлежности: у того, у тех, там, которые"
тарамард,"местоименное наречие дальн. ст. до того места, края"
тарамāҷ,"местоименное наречие дальн. ст. тем; в ту сторону, туда"
тарамā́ҷанд,"субстантивированное местоименное наречие дальн. ст. со значением принадлежности: у того, той, тех, которые там"
тарамец,местоименное наречие дальн. ст. со значением предела: до того места; края
тарамецанд,"субстантивированное местоименное наречие дальн. ст. со значением принадлежности: у того (той), тех, которые там"
тарамецард,"местоименное наречие дальн. ст. со значением предела: до того места, края"
таре,местоименное наречие средн. ст. там
тареданд,"субстантивированное местоименное наречие средн. ст. со значением принадлежности: у того (той), (тех), которые там"
таредард,"местоименное наречие средн. ст. к тому времени, потом"
таредāҷ,"местоименное наречие средн. ст.: там; в ту сторону, туда"
таредā́ҷанд,"субстантивированное местоименное наречие средн. ст. со значением принадлежности: у того (той), тех, которые там"
таредā́ҷард,"субстантивированное местоименное наречие средн. ст. со значением адресата: тому (той), тем, которые там"
таредец,местоименное наречие средн. ст. со значением предела: до того места
таредецанд,"субстантивированное местоименное наречие средн. ст. со значением принадлежности: у того (той), тех, которые там"
таредецард,"местоименное наречие средн. ст. со значением предела: до того, этого места, края"
тар-зибо,назад; сзади
тар-зибодāҷ,назад
тар-кā,где?
тар-пāли,"в сторону, сбоку, с краю"
тар-пиро,впереди
тар-тӣр,"над, через"
тару̊,местоименное наречие ближн. ст. здесь
тару̊данд,"субстантивированное местоименное наречие ближн. ст. со значением принадлежности: у того (той), тех, которые здесь"
тару̊дард,"местоименное наречие ближн. ст. до этого места, края, до сих пор, досюда"
тару̊дāҷ,"местоименное наречие ближн. ст.: в эту сторону, сюда; с этой стороны"
тару̊дāҷанд,"субстантивированное местоименное наречие ближн. ст. со значением принадлежности: у того (той), тех которые здесь, тут"
тару̊даҷард,"субстантивированное местоименное наречие ближн. ст. со значением адресата: тому (той), тем, которые здесь, тут"
тару̊дец,"местоименное наречие ближн. ст. со значением предела: до этого места, края; до сих пор, досюда"
тару̊децанд,"субстантивированное местоименное наречие ближн. ст. со значением принадлежности: у того(той), тех, которые здесь"
тару̊децард,"местоименное наречие ближн. ст.: до этого места, края, до сих пор, досюда"
тару̊-тарам,"туда и сюда; в разные стороны, по сторонам"
тахмӣнан,"приблизительно, примерно"
тағас,"сразу, моментально, мигом"
тāйӣн-аθ,"несомненно, точно, достоверно"
тāйӣ́нанд,"достоверно, несомненно, точно"
ик-тāм,"именно, тогда, в то время"
тāқӣк,"достоверно, доподлинно; действительно, несомненно"
тези́к-аθ,быстренько
тилапаст,"с шумом, с треском"
тила́п-тила́п,"беспрерывно, часто"
тилумwоз,"едва касаясь ногами дна, по горло, по грудь в воде"
тис-бар-тис,"полным-полно, до отказа, до краев"
тӣни,по копейке
тӣрамо-субā,"к осени, осенью, с наступлением осени"
тӣрамо-ҷев,"каждую осень, каждый раз осенью"
тобисту̊н-ҷев,"летом, каждый раз летом, в летнюю пору"
то́-диди,"для того, чтобы, чтобы"
торик-торик,во тьме; в самую темноту
торику̊н,"в темноте, затемно"
то́р-мāлāқ,"кувырком, кубарем, вниз головой"
тоталāш,"повсеместно, повсюду, тут и там; кто где; в разные стороны, врассыпную"
тоқā́θ,"одиноко, в одиночестве, (только) один"
тац-тац,"беспрерывно, без конца, то и дело"
то́нец,"до тех пор, пока; пока"
уwа́-у́w,"беспрерывно, непрестанно, регулярно, без конца (чаще при глаголе ти:тӯйд)"
у́w-у́w,"быстро-быстро, беспрерывно, в темпе"
укманд,"обязательно, непременно, безусловно"
укми,"в обязательном порядке, в принудительном порядке, по принуждению"
у́ли-ола́м,"вряд ли, кто его знает"
улā,"вверх тормашками, перевернутый (о бабке при игре)"
умрибод,"навеки, вечно, навсегда, пожизненно"
умуман,вообще
фалолā,"пока, временно"
фараҷи,нараспашку
фачу̊нā,"напрасно, понапрасну, зря; даром"
фағдамā,"быстро, стремительно, мигом"
фағдӯд,"быстро, стремительно; с силой"
фақат,"только, лишь, лишь только"
фāмчак,"понятно, ясно"
фикран,мысленно; умом
филақаст,"с шелестом, шелестя, с шумом"
фӣх̌физāн,"тяжело дыша, с одышкой"
фориғбол-аθ,"спокойно, беспечно, беззаботно"
фазаст,"быстро, мгновенно"
фукаки,"всего, всего навсего, только; все"
фука-ҷо,"везде, всюду, повсюду"
фук-тараф,"всесторонне, со всех сторон, во всех отношениях"
фуктоги,"всячески, всесторонне, во всех отношениях"
фаласт,"пристально, вытаращив глаза"
фараст,"быстро; сильно, очень"
фарх̌аст,"быстро, стремительно, сразу"
фарх̌ат,"сразу; немедленно, моментально"
фарх̌-фарх̌,"быстро-быстро, стремительно; часто, то и дело"
фаршаст,"сразу, немедленно, быстро"
фурш-фурш,"с чавканьем, чавкая, чавканью"
фусаст,"мигом, стремительно"
футаст,"быстро, стремительно"
ха́х̌-аθ,"громко, шумно"
хах̌wêл-аθ,"плотно, крепко, цепко"
хе́лак,"довольно много, порядочно, изрядно"
хелак-рāнг,"довольно много, порядочно"
хилwа́т-аθ,"спокойно, тихо"
хо́-нохо́,"обязательно; в конечном счете, рано или поздно"
ху-бадилā,"медленно; не спеша, неторопливо"
хумб,"много, полно, навалом"
ху-рд-аθ,"само по себе, просто так"
хусӯсан,"особенно, в особенности"
хушбахту̊нā,"счастливо, в счастье"
хишрӯ́й-аθ,"красиво; как следует, по всем правилам, хорошо; удобно"
х̌абӣнҷā,"ночью, на ночь"
х̌аб-о-х̌аб,"ночью, в глухую ночь"
х̌апаст,"сразу, быстро, проворно, живо"
х̌а́п-х̌а́п,"беспрерывно, часто"
х̌армандаwор,"стыдливо, смущаясь, в смущении; виновато"
х̌ā́баθ,"перед рассветом, затемно"
х̌āба́каθ,"перед рассветом, на исходе ночи, затемно"
х̌āбаҷев,"ночной порой, ночью, по ночам, ночами"
х̌āбйу̊н,"ночной порой, по ночам, ночами"
х̌ипақат,с хлопаньем
х̌ипêх-аθ,"откровенно, открыто (о разговоре)"
х̌ипи́л,"совсем, совершенно; полностью"
х̌ипилтӣ́нг,"совсем, абсолютно"
х̌арфаθ,"совсем, совершенно"
х̌итовwор,"торопливо, поспешно"
х̌иқаwаст,"с бульканьем, журча"
х̌иқаw-х̌иқаw,"с бульканьем, журча"
х̌ӣнеӡак,"рано утром, на рассвете, чуть свет, спозаранок"
х̌умне,завтра
ца-wахт,"когда?, в какое время?"
ца-wахтаки,"в какое именно время?, когда именно?"
цард,"зачем?, для чего; почему?"
цêп-цêп,"осторожно, с опаской"
цидулêх,"стремительно, бегом"
цилуқоwаки,стоя; торчком
цилақаст,"стремительно, порывисто; быстро, вдруг"
цирақаст,с треском
цурθаст,"быстро, мигом, сразу"
цурθ-пурθ,"сразу, быстро"
цуқ-аθ,"торчком, вертикально, прямо"
ӡумбилӯк,на корточках
ӡут-ат-ӡут,"с притопыванием, топая"
чакласт,"полностью, начисто, все, весь"
чанду̊н,"не очень, не особенно, не так"
ча́рс-аθ,"ловко, быстро, проворно"
чарқā,на спину; навзничь
чи-бункоwи,"сидя, в сидячем положении"
чиwийêwӡ,вплавь (без плавучих средств)
чи-дāмāк,(лежа) на спине
чи-кāл,вниз головой
чи-ку̊п,"на горбу, горбом, на горб"
чи-ну̊л,"на клюв, клювом"
чи-паррā,"боком, стоймя, на ребро"
чи-пāлийāк,"боком, лежа, полулежа на боку"
чи-пӣц,"без средств, без пропитания, ни с чем"
чи-пӣцāк,"вниз лицом, ничком, на животе, на живот"
чи-поδ,"на ногах, стоя"
чирêқ-шанд,"с заячьей губой, с раздвоенной губой"
чиқалтӯс,"по диагонали, от одного угла до противоположного"
чи-қāд,стоя во весь рост; вытянувшись во весь рост
чи-қӣчāк,на животе; ползком
чордаст,вскачь; галопом
чор-ғу̊w,ничком с подогнутыми ногами
чор-ғу̊wāк,на четвереньках
чоқ,"в меру, как раз, достаточно; в норме, нормально"
чук,"в составе сложных глаголов, обозначающих движение вниз"
чу́нг-чу́нг,"согнувшись, скорчившись, скорбившись"
шāпкадор,"в шапке, с шапкой на голове"
шарāти,"для отвода глаз, для видимости, для приличия"
шартан,условно
шерамардwор,"мужественно, смело, не боясь; как настоящий мужчина; по-богатырски"
шилапаст,"быстро, немедленно, незамедлительно"
шилақаст,"моментально, враз, сразу"
шилақат,"с шумом, с треском, с грохотом"
шилақ--шилақ,"быстро-быстро, часто, в темпе; беспрерывно"
шипи́т-аθ,"развалясь, полулежа"
шипарθаст,"с шумом, с треском"
шипутаст,"с треском, с шумом; со свистом"
ширахаст,"шумно, с шумом, со свистом, с треском"
ширапаст,"с шумом, с грохотом, шумно"
шич-гунā,"вот сейчас, только что"
шиқилдум,"безвозвратно, бесследно; понапрасну, зря"
шараст,"с шумом, журча, бурля, булькая (о жидкости)"
шат-шат,"прихрамывая, припадая на одну ногу; ковыляя"
ғаwаст,"с бульканьем, журча, бурля (о жидкости)"
ға́w-ға́w,"булькая, бурля (о жидкости)"
ға́л-а,"все еще, до сих пор, пока еще"
ғапаст,"с треском, обрушившись (о падении чего-л.)"
ғаспилло,"исчезнувший, потерявшийся насовсем"
ғếв-ец,"по горло; отказа, до горловины; битком; много, уйма"
ғарицаст,"горько; сильно, с треском"
ғурзаст,"всхлипывая, навзрыд"
ғурз-ғурз,"хныкая, всхлипывая"
ɣ̌ибу̊нгаст,"с треском, с шумом"
қаwм-гӯйу̊н,"как родственники, в качестве близких родственников"
қамбаст,"в один глоток, в один прием, за один раз"
қам-қамб,"залпом, без передышки"
қарӣб-āwол,"близко, поблизости"
қаро́р-қаро́р,тайком
қаро́р-аθ,"молча; спокойно, тихо, потихоньку"
қарораки,"тайно, тайком; втихомолку"
қата́нд,"категорически, решительно, окончательно; ни за что"
қатêθ,"вместе, совместно"
қаторак,"в ряд, один за другим"
қатwор,"жадно, с жадностью"
қеши,"по куску, по ломтику (дыни, арбуза)"
қилӣн-қилāц,"быстро-быстро; торопливо, на скорую руку"
қишқерӯн,"вместе, за компанию"
қу́ж-қу́ж,быстро
қунҷғаги,вдвоем верхом
қу́п-қу́п,с бульканьем
ҷāндум,"ненужный, ни к чему, незачем; бог с ним"
ҷā́лд-аθ,"быстро, скоро; сразу"
ҷеранд,золотисто-рыжий (о масти лошади)
ҷинс,"совсем, совершенно, полностью, всё"
ҷумбу̊н-ҷумбу̊н,"качаясь, колеблясь"
ҷӯ́р-аθ,"вместе, в паре; дружно; слитно"
сабо-афаw,"завтра-послезавтра, на днях"
wитāр-wитāр,"устало, вяло"
лапди,больше
пизори́к-аθ,"совсем мало, очень немного; самую малость"
тареди,"немного погодя, через некоторое время, потом"
тā́м-ард,"в то время, к тому времени, в ту пору, тогда (же)"
те́з-аθ,"быстро, скоро"
wā́хт-ти,"вовремя, своевременно"
тилим-тилим,"частями, кусками; по частям"
тифтирếқ-аθ,"неохотно, с нежеланием, сухо"
тӣ́р-ти,"сверху, поверх, на, над"
узбаки́-ти,по-узбекски
āбаробар,"сразу же, тут же"
ачаθ,"(с последующим отрицанием) ничто, ничего, вовсе не… , совсем не…"
афаɣ̌,послезавтра
албат,"наверное, вероятно, должно быть"
албаттā,"конечно, несомненно"
ам-дигар,"взаимно, друг друга, один другого"
āм-га,"а также, тоже"
амаги,"всё, все, всего; целиком, полностью"
ақêқатан,"действительно, на самом деле, в действительности, поистине"
ар-ҷо,"везде, повсюду, повсеместно, где бы ни..."
ар-меθ,"ежедневно, каждый день"
ар-рāнг-ца,"как-то, что-то"
ас-бāр,"наизусть, на память"
ас-дарӯн,изнутри
ас-пиро,спереди
а-сарāк-аθ,"снова, опять, вновь"
ас-ваҷ,снаружи
ас-wи-сāри,"перед рассветом, рано утром"
ас-йӯндаθ,"отсюда, отсель"
асло,"(с последующим отрицанием) никак, никогда, ничуть, вовсе не..., совершенно не..., совсем не..."
ах̌ӣб,"третьего дня, позавчера"
азам,оттуда (о предметах близких)
азед,"отсюда, оттуда (о предметах среднего удаления)"
азу̊,отсюда (о предметах дальних)
ба-аwҷ,"с увлечением, с жаром, с энтузиазмом, с интересом"
ба-дил,по сердцу
ба-диқат,внимательно
ба-гуму̊н,предположительно
бā-лāҷā,"красноречиво, выразительно, с выражением"
ба-лоғаθ,"шутя, в шутку"
ба-марwат,"осторожно, внимательно, тщательно"
ба-мисли,"подобно, вроде, наподобие, как-то"
ба-нокāфанд,"вдруг, внезапно, неожиданно"
ба-сӯз,"пылко, пламенно, всласть, с жаром, с чувством, с увлечением"
ба-тифоқ,"дружно, дружелюбно, согласно, в единении"
ба-йоδ,в памяти
ба-зӯди,быстро
ба-зӯр,"силою, насильно"
бāд,"после, потом, затем, через"
бар-боδ,"на ветер, по ветру"
бар-дурӯғ,"ложно, лживо"
бар-ҷой,"на место, на свое место; прочно, твердо"
бāс,"довольно, достаточно"
байелā,"еле-еле, чуть-чуть, немножко, почти"
байт-лу̊вд,"очень много, видимо-невидимо, масса"
бағер,"наверно, должно быть, конечно, только, пожалуй"
бегуму̊н,"несомненно, без сомнения, достоверно"
бених̌у̊н,"без счета, без числа"
бенуойат,"бесконечно, чрезвычайно"
берӯн,"вне, снаружи"
бешак,"несомненно, без сомнения, безусловно"
бесамарwор,"торопливо, поспешно, суетливо"
беwуддā,"зря, напрасно, без толку"
бех̌,больше
бех̌ди,"больше, более, но большей части, в большинстве"
бехилӣwаθ,"вдруг, внезапно, неожиданно"
беғаразу̊нā,"беспристрастно, объективно, нелицеприятно"
бисйор,много
бийор,вчера
бор,"хоть, по крайней мере"
бойад,"нужно, должно, надлежит"
чакласт,"совершенно, полностью, целиком"
чанд,"сколько, несколько"
часпак,"плотно, вплотную, впереплет, накрест"
дармомо,"напрасно, зря, без толку"
даδ,"после, потом, затем"
дер,поздно; долго
дирӯғаθ,"напрасно, зря"
дис,"так, таким образом"
дойим,всегда
ду̊нд,"столько, (такое) количество"
дӯс,"немного, малость"
дӯс-дӯс,"понемногу, мало-помалу; чуть-чуть"
дӯсди,"еще меньше, немножко"
дӯсгунā,"немного, немножко"
дӯсгунā-га,еще немножко
дӯсик,"совсем немножко, самая малость"
δустаки,вручную
етимол,возможно
фарх̌аст,"сразу, немедленно"
фука-ҷо,везде
калапой,вниз
кам,мало
кāм,мало
кāй,где?
кай-то-кай,"доколе, до каких пор; постепенно"
лаҷу̊м-такйā,"медленно, спокойно, вяло, лениво, спустя рукава"
лап,"очень, много, весьма"
лапи,"множество, обилие, большое количество"
лозум,"нужно, необходимо"
лум-лум,"плавно, спокойно, тихо"
магам,"нужно, должно, следует"
милӯт,стремительно
муду̊м,"всегда, постоянно"
муфт,"даром, за бесценок, бесплатно; запросто, без труда"
мутлақ,"абсолютно, безусловно, непременно"
мухтасар,"вкратце, сокращенно, короче говоря"
нāрмаθ,"потихоньку, тайно, скрытно"
насийā,"в кредит, заимообразно"
наwо,неужели; особенно
нигāму̊нанд,"неожиданно, вдруг; нечаянно"
нӣмкорā,"наполовину (сделанный, съеденный)"
но-ҷой,"не на место, не на месте; не там, где нужно"
ног,"может быть, вдруг, авось, как бы, внезапно (выражает как желаемое, так и нежелаемое)"
нур,сегодня
нурӣнҷā,"сегодня, в течение сегодняшнего дня, на сегодня"
оростā,"в достатке, достаточно (об убранстве дома, вещах, имуществе)"
ови,"вплавь, по воде"
ойистā,"тихо, потихоньку, медленно"
падам,"там наверху, туда наверх"
падед,"здесь наверху, сюда наверх, там наверху, туда наверх (о предметах среднего удаления)"
паду̊д,"здесь, тут, сюда (вверху, вверх)"
парх̌ӣб,"четвертого дня, три дня назад"
патарāҷ,"вверх, наверх"
пех̌-пех̌,"постепенно, мало-помалу"
пех̌аки,"раньше, прежде"
пех̌ӣнаки,"после полудня, перед вечером"
пи-бӣр,"внизу, под"
пиго,"давно, раньше, рано"
пизӯр,немного
поδев,"в ноги, в ногах"
пуррā,"полный, полностью, целиком, вполне"
қарӣб,"близкий, вблизи"
қарқарā,"торчком, дыбом, стоймя"
қāстард,"почти, чуть не.., чуть было не.., едва"
қатанд,"категорически, решительно, окончательно"
қатêθ,"вместе, совместно, объединенно"
қати,категорически
рафтā-рафтā,"постепенно, мало-помалу"
сар-то-сар,"из конца в конец, от края до края; целиком, полностью"
сāрак,"поутру, утром"
шич,"теперь, сейчас"
шиқулдум,"безвозвратно, бесследно"
ситиробwор,"торопливо, поспешно"
соф,"начисто, совсем, окончательно, целиком"
субадам,на рассвете
субу̊нилло,рано утром
тагов,"низ, вниз, внизу"
тано,"одиноко, один, только один"
тāқӣқ,"достоверно, несомненнo, действительно, доподлинно"
тарам,"там, туда"
таред,"здесь, тут, там, сюда, туда (о предметах среднего удаления)"
тарсу̊н-тарсу̊н,"боязливо, опасливо"
тару̊,"здесь, сюда"
тахмӣнан,"приблизительно, примерно"
тирахтā,"туго, крепко, прочно, как следует, как должно"
тор-мāлāқ,"кувырком, стремглав, вниз головой"
тойи,"единственно, только"
ту̊нец,"до тех пор, пока.."
умӯман,вообще
вегаки,"вечером (после обеда), к вечеру, под вечер"
вегӣнҷ,"с вечера, в тот же вечер"
wидир,"после послезавтра, через два дня на третий"
х̌āб-дар-мийу̊н,"через ночь, на следующий день"
х̌аб-о-х̌аб,"ночью, в глухую ночь"
х̌āба-ҷев,"ночной порой, по ночам"
х̌āбаθ,"перед рассветом, в исходе ночи"
х̌āбаки,"ночью, в ночную пору, по ночам"
х̌ап-х̌ап,беспрерывно
х̌апаст,"проворно, быстро"
хелак,"порядочно, изрядно"
хойим,"наконец, в конце концов"
ху-ба-дилā,"медленно, неторопливо, не спеша"
хуб,"хорошо, как следует"
х̌умне,завтра
йак-цемāк,"одним глазом, на один глаз, искоса"
йак-дастā,с одной ручкой (о сосуде)
йак-дигар,"друг друга, взаимно"
йак-ҷойи,"вместе, в одно место"
йак-ҷо,"вместе, совместно, объединенно, одновременно, сразу"
йак-поδāк,"одной ногой, на одной ноге, при помощи одной ноги"
йак-рез,"одновременно, в один прием, сразу"
йак-сар,"одновременно, вместе, в один прием"
йакборā,"одновременно, сразу"
йаманд,"там, туда (об определенном месте)"
йамандӣр,там
йамард,"туда, там (о неопределенном месте)"
йамтир,там (наверху)
йақӣн,"доподлинно, достоверно, точно"
йақӣнанд,"непременно, непреложно, достоверно"
йеданд,"тут, там, сюда, туда (о предметах среднего удаления)"
йедандӣр,"здесь, там (о предметах среднего удаления)"
йедард,"сюда, туда (о предметах среднего удаления)"
йи-рāнг,"как, каким-либо образом"
йигу̊н-йигу̊н,"иногда, от времени до времени, по временам"
ик-тāм,"только тогда, именно тогда, как раз тогда"
йиwу,"вон, вот там"
йу̊д-ат-йам,"там и сям, кое-где"
йу̊данд,"здесь, сюда"
йу̊дандӣр,"здесь, тут"
жêх̌т-о-жêх̌т,бегом
жибирақаст,"во всю прыть, во весь опор, изо всех сил"
зич,"тесно, плотно, часто"
зийот,"много, обильно, больше"
зорδӣнҷ,"по сердцу, по выбору, по желанию"
ғал,"пока, еще, в то время, сейчас"
θаппаст,"быстро, стремительно, бурно, порывисто, c шумом"
талол,"очень, совсем, сильно"
ҷа́ми,"всего, итого"
ҷамул-ҷам,"всего, итого, всего-навсего"
дар-ақêқат,"на самом деле, по правде"
пати,"сверху, над"
пех̌,вперед
рāмаҷинаθ,жалобно
wийан-га,"на следующий, на другой (день, год)"
йу̊дард,сюда
